timestamp,bench id,lat,lng,column a,column b,column c,column d,column e,column f,column g,column h,column i,column j,column k,column l,column m,column n,column o,column p
80317101954,14682000806546,42.360287,-71.090744,6,0.9,0,0.29,-4.69,0.94,351.28,0.16,-0.78,9.57,38.55,-5.91,3.57,-0.06,0.06,-0.03
80317101830,14682000806546,42.360287,-71.090744,5,1.04,0,1.88,-2.08,5.21,320.39,0.78,-0.31,8.59,44.27,-36.64,26.73,0.05,0.04,0.05
80317101946,14682000806546,42.360287,-71.090744,6,1.57,0,1.25,3.83,6.4,328.62,0.78,0.47,6.98,47.09,-28.73,5,0.07,-0.02,0.05
80317184513,14682000806546,42.360302,-71.090363,425,-0.04,0,0.46,0.69,3.91,120.89,0.67,0.12,9.77,-12.18,20.36,24.69,0,0.08,0
80317184244,14682000806546,42.360538,-71.089935,436,0.02,0,0.21,0.69,3.92,120.43,0.67,0.12,9.73,-11.91,20.27,24.39,0,0.08,0
80317184244,14682000806546,42.360538,-71.089935,436,0.02,0,0.21,0.69,3.92,120.43,0.67,0.12,9.73,-11.91,20.27,24.39,0,0.08,0
80317184301,14682000806546,42.360573,-71.089897,441,-0.01,0,0.15,0.69,3.94,120.35,0.67,0.12,9.69,-11.82,20.18,25.51,0,0.08,0
80317184309,14682000806546,42.360573,-71.089897,425,0.04,0,0.28,0.69,3.69,121.49,0.63,0.12,9.73,-12.36,20.18,24.69,0,0.08,0
80317184317,14682000806546,42.36058,-71.089897,447,0.04,0,0.34,0.92,3.45,121,0.59,0.16,9.77,-12.18,20.27,23.88,0,0.08,0
80317184335,14682000806546,42.360588,-71.089897,448,0.04,0,0.22,0.7,3.72,120.81,0.63,0.12,9.65,-12.09,20.27,24.59,0,0.08,0
80317184326,14682000806546,42.360588,-71.089897,438,0.03,0,0.4,0.92,3.46,119.8,0.59,0.16,9.73,-11.82,20.64,24.18,0,0.08,0
80317184408,14682000806546,42.360596,-71.089897,419,0.03,0,0.2,0.91,3.89,119.99,0.67,0.16,9.81,-11.91,20.64,25.2,0,0.08,0
80317184400,14682000806546,42.360596,-71.089897,455,0.02,0,0.28,0.92,4.15,120.21,0.71,0.16,9.73,-11.91,20.45,24.69,0,0.08,0
80317184342,14682000806546,42.360596,-71.089897,435,0.05,0,0.28,0.69,3.71,121,0.63,0.12,9.69,-12.18,20.27,24.59,0,0.08,0
80317184351,14682000806546,42.360596,-71.089897,426,0.05,0,0.2,0.93,3.47,120.4,0.59,0.16,9.69,-12,20.45,24.59,0,0.08,0
80317184416,14682000806546,42.360611,-71.089882,432,0.02,0,0.36,0.69,3.47,120.55,0.59,0.12,9.69,-12.18,20.64,24.49,0,0.08,0
80317184433,14682000806546,42.360619,-71.089882,434,0.03,0,0.22,0.69,4.17,120.21,0.71,0.12,9.69,-11.91,20.45,24.8,0,0.08,0
80317184425,14682000806546,42.36063,-71.089882,424,0.02,0,0.27,0.47,3.74,120.21,0.63,0.08,9.61,-11.91,20.45,24.39,0,0.08,0
80317160308,14682000806546,42.360661,-71.089821,5,0.48,0,0.25,-1.61,0.92,138.5,0.16,-0.27,9.77,-21.27,18.82,23.47,0,0.08,-0.01
80317160317,14682000806546,42.360661,-71.089882,10,0.37,0,0.3,-1.85,0.93,138.8,0.16,-0.31,9.69,-21.18,18.55,23.37,0,0.08,-0.01
80317160326,14682000806546,42.360668,-71.089882,2,0.28,1,0.27,-1.6,0.91,138.61,0.16,-0.27,9.85,-21.45,18.91,23.98,0.01,0.08,-0.01
